  trainer = Trainer(
 33%|███▎      | 2811/8439 [02:18<04:38, 20.20it/s]{'loss': 0.5813, 'grad_norm': 20.785507202148438, 'learning_rate': 1.9770114942528737e-05, 'epoch': 0.04}
{'loss': 0.3845, 'grad_norm': 20.803478240966797, 'learning_rate': 1.953548998696528e-05, 'epoch': 0.07}
{'loss': 0.095, 'grad_norm': 0.07768315076828003, 'learning_rate': 3.900936129873208e-06, 'epoch': 2.42}
{'loss': 0.1151, 'grad_norm': 0.09169576317071915, 'learning_rate': 3.663941225263657e-06, 'epoch': 2.45}
{'loss': 0.1222, 'grad_norm': 0.3672776222229004, 'learning_rate': 3.4269463206541064e-06, 'epoch': 2.49}
{'loss': 0.0971, 'grad_norm': 0.03412302955985069, 'learning_rate': 3.1899514160445555e-06, 'epoch': 2.52}
{'loss': 0.0484, 'grad_norm': 0.10344348847866058, 'learning_rate': 2.9529565114350046e-06, 'epoch': 2.56}
{'loss': 0.0849, 'grad_norm': 0.07351084798574448, 'learning_rate': 2.7159616068254537e-06, 'epoch': 2.6}
{'loss': 0.1521, 'grad_norm': 0.026218019425868988, 'learning_rate': 2.4789667022159024e-06, 'epoch': 2.63}
{'loss': 0.0671, 'grad_norm': 0.11550615727901459, 'learning_rate': 2.2419717976063515e-06, 'epoch': 2.67}
{'loss': 0.1295, 'grad_norm': 96.42250061035156, 'learning_rate': 2.004976892996801e-06, 'epoch': 2.7}
{'loss': 0.1228, 'grad_norm': 0.09891700744628906, 'learning_rate': 1.7679819883872498e-06, 'epoch': 2.74}
{'loss': 0.0487, 'grad_norm': 0.03309188410639763, 'learning_rate': 1.530987083777699e-06, 'epoch': 2.77}
{'loss': 0.0821, 'grad_norm': 0.048445265740156174, 'learning_rate': 1.293992179168148e-06, 'epoch': 2.81}
{'loss': 0.0667, 'grad_norm': 0.18099215626716614, 'learning_rate': 1.0569972745585971e-06, 'epoch': 2.84}
{'loss': 0.0727, 'grad_norm': 0.024583593010902405, 'learning_rate': 8.200023699490461e-07, 'epoch': 2.88}
{'loss': 0.0863, 'grad_norm': 30.52292251586914, 'learning_rate': 5.830074653394952e-07, 'epoch': 2.92}
{'loss': 0.0861, 'grad_norm': 0.36616936326026917, 'learning_rate': 3.4838250977603983e-07, 'epoch': 2.95}
{'loss': 0.0624, 'grad_norm': 0.03446448966860771, 'learning_rate': 1.1138760516648892e-07, 'epoch': 2.99}
100%|██████████| 8439/8439 [07:10<00:00, 19.62it/s]
{'eval_loss': 0.4486338794231415, 'eval_accuracy': 0.9172, 'eval_runtime': 3.4597, 'eval_samples_per_second': 722.6, 'eval_steps_per_second': 45.379, 'epoch': 3.0}
{'train_runtime': 430.0581, 'train_samples_per_second': 156.956, 'train_steps_per_second': 19.623, 'train_loss': 0.20284753650098436, 'epoch': 3.0}
100%|██████████| 157/157 [00:03<00:00, 45.31it/s]
